,Code,Sector,Sector33CodeName
1011,9065,物流,
1012,9069,物流,
1013,9072,物流,
1014,9075,物流,
1015,9076,物流,
1016,9090,食品2,
1017,9101,海運,
1018,9104,海運,
1019,9107,海運,
1020,9110,海運,
1021,9119,物流,
1022,9142,九州旅客鉄道,
1023,9147,エンタメ,
1024,9201,旅客・海外観光,
1025,9202,旅客・海外観光,
1026,9301,物流,
1027,9302,物流,
1028,9303,物流,
1029,9308,食品運搬・販売,
1030,9364,物流,
1031,9401,メディア,
1032,9404,メディア,
1033,9409,メディア,
1034,9412,メディア,
1035,9413,メディア,
1036,9416,ビジョン,
1037,9418,Ｕ−ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,
1038,9424,ITソリューション,
1039,9432,電話,
1040,9433,電話,
1041,9435,SIer2,
1042,9449,ITサービス,
1043,9468,ソフトウェア,
1044,9470,その他サービス,
1045,9474,土木・道路,
1046,9501,電力,
1047,9502,電力,
1048,9503,電力,
1049,9504,電力,
1050,9505,電力,
1051,9506,電力,
1052,9507,電力,
1053,9508,電力,
1054,9509,電力,
1055,9511,電力,
1056,9513,電力,
1057,9517,イーレックス,
1058,9531,ガス,
1059,9532,ガス,
1060,9533,ガス,
1061,9543,ガス,
1062,9551,インフラ整備,
1063,9601,エンタメ,
1064,9602,地方私鉄,
1065,9603,旅客・海外観光,
1066,9605,エンタメ,
1067,9613,ソフトウェア,
1068,9616,国内観光,
1069,9627,調剤薬局,
1070,9663,食品運搬・販売,
1071,9672,ロードサイド,
1072,9678,中堅ゼネコン・設計,
1073,9682,SIer2,
1074,9684,ゲーム,
1075,9692,ソフトウェア,
1076,9697,ゲーム,
1077,9699,中堅ゼネコン・設計,
1078,9706,旅客・海外観光,
1079,9715,SIer,
1080,9716,不動産,
1081,9719,ソフトウェア,
1082,9722,その他レジャー,
1083,9726,国内観光,
1084,9735,ヘルスケア,
1085,9740,その他サービス,
1086,9742,SIer,
1087,9743,中堅ゼネコン・設計,
1088,9744,メイテックグループホールディングス,
1089,9746,ＴＫＣ,
1090,9749,SIer,
1091,9755,ゼネコン,
1092,9757,医薬品卸,
1093,9759,SIer2,
1094,9766,ヘルスケア,
1095,9787,イオンディライト,
1096,9790,EDA・CAD,
1097,9793,ダイセキ,
1098,9830,中堅ゼネコン・設計,
1099,9831,家電量販店,
1100,9832,ロードサイド,
1101,9842,ホームセンター,
1102,9843,小売,
1103,9861,外食1,
1104,9869,食品2,
1105,9882,ロードサイド,
1106,9889,SIer,
1107,9900,外食2・学習塾,
